"id","org_id","class_id","subject_id","sub_chapter_id","section_id","chapter_id","exam_id","exam_type","exam_ques","opt1","opt2","opt3","opt4","marks","solution","corect_opt","status","created_at","updated_at"
"600","14","18","14","6","4","12","13","1",,,,,,,,,"1","2023-09-23 17:36:28","2023-09-23 17:36:28"
"601","14","18","14","6","4","12","13","1","Zn(30)=[Ar]3d^10,4s^2
Zn^(2+)=[Ar]3d^10     (no unpaired electron)
Fe(26)=[Ar]3d^6,4s^2
Fe^(2+)=[Ar]3d^6
3d^6       
                              (four unpaired electrons)
Ni(28)=[Ar]3d^8,4s^2
Ni^(3+) [Ar]3d^7
3d^7            
                              (three unpaired electrons)
(Cu(29)=[Ar]3d^10,4s^1
Cu^+=[Ar]3d^10       (no unpaired electron)","dangerous ","amicable ","lethal ","powerful ","4","Zn(30)=[Ar]3d^10,4s^2
Zn^(2+)=[Ar]3d^10     (no unpaired electron)
Fe(26)=[Ar]3d^6,4s^2
Fe^(2+)=[Ar]3d^6
3d^6       
                              (four unpaired electrons)
Ni(28)=[Ar]3d^8,4s^2
Ni^(3+) [Ar]3d^7
3d^7            
                              (three unpaired electrons)
(Cu(29)=[Ar]3d^10,4s^1
Cu^+=[Ar]3d^10       (no unpaired electron)","lethal ","1","2023-09-23 17:36:35","2023-09-23 17:36:35"
"602","14","18","14","6","4","12","13","1","Virulent ?","electric ","irrigation ","presure ","central ","4","aaa","irrigation ","1","2023-09-23 17:36:36","2023-09-23 17:36:36"
"603","14","18","14","6","4","12","13","1","Zn(30)=[Ar]3d^10,4s^2
Zn^(2+)=[Ar]3d^10     (no unpaired electron)
Fe(26)=[Ar]3d^6,4s^2
Fe^(2+)=[Ar]3d^6
3d^6       
                              (four unpaired electrons)
Ni(28)=[Ar]3d^8,4s^2
Ni^(3+) [Ar]3d^7
3d^7            
                              (three unpaired electrons)
(Cu(29)=[Ar]3d^10,4s^1
Cu^+=[Ar]3d^10       (no unpaired electron)","whimsical ","contiguous ","spectaculer ","adjacent ","4","aa","Circueteous","1","2023-09-23 17:36:36","2023-09-23 17:36:36"
"604","14","18","14","6","4","12","13","1","Select the wrongly spelt word ?","dangerous ","irrigation ","callous ","carriage ","4","Zn(30)=[Ar]3d^10,4s^2
Zn^(2+)=[Ar]3d^10     (no unpaired electron)
Fe(26)=[Ar]3d^6,4s^2
Fe^(2+)=[Ar]3d^6
3d^6       
                              (four unpaired electrons)
Ni(28)=[Ar]3d^8,4s^2
Ni^(3+) [Ar]3d^7
3d^7            
                              (three unpaired electrons)
(Cu(29)=[Ar]3d^10,4s^1
Cu^+=[Ar]3d^10       (no unpaired electron)","Essential","1","2023-09-23 17:36:36","2023-09-23 17:36:36"
"605","14","18","14","6","4","12","13","1","Zn(30)=[Ar]3d^10,4s^2
Zn^(2+)=[Ar]3d^10     (no unpaired electron)
Fe(26)=[Ar]3d^6,4s^2
Fe^(2+)=[Ar]3d^6
3d^6       
                              (four unpaired electrons)
Ni(28)=[Ar]3d^8,4s^2
Ni^(3+) [Ar]3d^7
3d^7            
                              (three unpaired electrons)
(Cu(29)=[Ar]3d^10,4s^1
Cu^+=[Ar]3d^10       (no unpaired electron)","dangerous ","amicable ","lethal ","powerful ","4","Zn(30)=[Ar]3d^10,4s^2
Zn^(2+)=[Ar]3d^10     (no unpaired electron)
Fe(26)=[Ar]3d^6,4s^2
Fe^(2+)=[Ar]3d^6
3d^6       
                              (four unpaired electrons)
Ni(28)=[Ar]3d^8,4s^2
Ni^(3+) [Ar]3d^7
3d^7            
                              (three unpaired electrons)
(Cu(29)=[Ar]3d^10,4s^1
Cu^+=[Ar]3d^10       (no unpaired electron)","lethal ","1","2023-09-23 17:40:08","2023-09-23 17:40:08"
"606","14","18","14","6","4","12","13","1","Virulent ?","electric ","irrigation ","presure ","central ","4","aaa","irrigation ","1","2023-09-23 17:40:08","2023-09-23 17:40:08"
"607","14","18","14","6","4","12","13","1","Zn(30)=[Ar]3d^10,4s^2
Zn^(2+)=[Ar]3d^10     (no unpaired electron)
Fe(26)=[Ar]3d^6,4s^2
Fe^(2+)=[Ar]3d^6
3d^6       
                              (four unpaired electrons)
Ni(28)=[Ar]3d^8,4s^2
Ni^(3+) [Ar]3d^7
3d^7            
                              (three unpaired electrons)
(Cu(29)=[Ar]3d^10,4s^1
Cu^+=[Ar]3d^10       (no unpaired electron)","whimsical ","contiguous ","spectaculer ","adjacent ","4","aa","Circueteous","1","2023-09-23 17:40:08","2023-09-23 17:40:08"
"608","14","18","14","6","4","12","13","1","Select the wrongly spelt word ?","dangerous ","irrigation ","callous ","carriage ","4","Zn(30)=[Ar]3d^10,4s^2
Zn^(2+)=[Ar]3d^10     (no unpaired electron)
Fe(26)=[Ar]3d^6,4s^2
Fe^(2+)=[Ar]3d^6
3d^6       
                              (four unpaired electrons)
Ni(28)=[Ar]3d^8,4s^2
Ni^(3+) [Ar]3d^7
3d^7            
                              (three unpaired electrons)
(Cu(29)=[Ar]3d^10,4s^1
Cu^+=[Ar]3d^10       (no unpaired electron)","Essential","1","2023-09-23 17:40:08","2023-09-23 17:40:08"
"609","14","18","14","6","4","12","13","1","Zn(30)=[Ar]3d^10,4s^2
Zn^(2+)=[Ar]3d^10     (no unpaired electron)
Fe(26)=[Ar]3d^6,4s^2
Fe^(2+)=[Ar]3d^6
3d^6       
                              (four unpaired electrons)
Ni(28)=[Ar]3d^8,4s^2
Ni^(3+) [Ar]3d^7
3d^7            
                              (three unpaired electrons)
(Cu(29)=[Ar]3d^10,4s^1
Cu^+=[Ar]3d^10       (no unpaired electron)","dangerous ","amicable ","lethal ","powerful ","4","Zn(30)=[Ar]3d^10,4s^2
Zn^(2+)=[Ar]3d^10     (no unpaired electron)
Fe(26)=[Ar]3d^6,4s^2
Fe^(2+)=[Ar]3d^6
3d^6       
                              (four unpaired electrons)
Ni(28)=[Ar]3d^8,4s^2
Ni^(3+) [Ar]3d^7
3d^7            
                              (three unpaired electrons)
(Cu(29)=[Ar]3d^10,4s^1
Cu^+=[Ar]3d^10       (no unpaired electron)","lethal ","1","2023-09-23 17:41:17","2023-09-23 17:41:17"
"610","14","18","14","6","4","12","13","1","Virulent ?","electric ","irrigation ","presure ","central ","4","aaa","irrigation ","1","2023-09-23 17:41:17","2023-09-23 17:41:17"
"611","14","18","14","6","4","12","13","1","Zn(30)=[Ar]3d^10,4s^2
Zn^(2+)=[Ar]3d^10     (no unpaired electron)
Fe(26)=[Ar]3d^6,4s^2
Fe^(2+)=[Ar]3d^6
3d^6       
                              (four unpaired electrons)
Ni(28)=[Ar]3d^8,4s^2
Ni^(3+) [Ar]3d^7
3d^7            
                              (three unpaired electrons)
(Cu(29)=[Ar]3d^10,4s^1
Cu^+=[Ar]3d^10       (no unpaired electron)","whimsical ","contiguous ","spectaculer ","adjacent ","4","aa","Circueteous","1","2023-09-23 17:41:17","2023-09-23 17:41:17"
